Internal,Temperature,Humidity,Year,Month,Day,Hour,Minute,Second
80.67992,23,32,2023,12,3,13,30,33
80.67992,23,32,2023,12,3,13,30,40
80.67992,23,32,2023,12,3,13,30,48
80.67992,23,32,2023,12,3,13,30,55
80.67992,23,32,2023,12,3,13,31,2
80.67992,23,32,2023,12,3,13,31,10
80.67992,23,32,2023,12,3,13,31,17
80.67992,23,32,2023,12,3,13,31,25
80.67992,24,32,2023,12,3,13,31,32
80.67992,24,32,2023,12,3,13,31,40
80.67992,24,31,2023,12,3,13,31,47
80.67992,24,31,2023,12,3,13,31,54
80.67992,25,31,2023,12,3,13,32,2
80.67992,25,30,2023,12,3,13,32,9
80.67992,25,30,2023,12,3,13,32,17
80.67992,25,30,2023,12,3,13,32,24
80.67992,25,30,2023,12,3,13,32,32
80.67992,25,29,2023,12,3,13,32,39
80.67992,24,29,2023,12,3,13,32,46
80.67992,24,29,2023,12,3,13,32,54
80.67992,24,29,2023,12,3,13,33,1
81.52258,24,29,2023,12,3,13,33,9
80.67992,24,29,2023,12,3,13,34,31
80.67992,24,29,2023,12,3,13,34,35
81.52258,24,29,2023,12,3,13,34,38
80.67992,24,29,2023,12,3,13,34,41
80.67992,24,29,2023,12,3,13,34,45
80.67992,24,29,2023,12,3,13,34,48
79.83727,24,29,2023,12,3,13,34,51
81.52258,24,29,2023,12,3,13,34,55
80.67992,24,30,2023,12,3,13,34,58
80.67992,24,30,2023,12,3,13,35,1
80.67992,24,30,2023,12,3,13,35,5
80.67992,24,30,2023,12,3,13,35,8
80.67992,24,30,2023,12,3,13,35,11
80.67992,25,30,2023,12,3,13,35,15
81.52258,25,31,2023,12,3,13,35,18
81.52258,25,32,2023,12,3,13,35,21
81.52258,26,32,2023,12,3,13,35,25
80.67992,26,33,2023,12,3,13,35,28
81.52258,27,33,2023,12,3,13,35,31
81.52258,28,33,2023,12,3,13,35,35
81.52258,29,33,2023,12,3,13,35,38
80.67992,30,32,2023,12,3,13,35,41
81.52258,30,31,2023,12,3,13,35,45
81.52258,31,29,2023,12,3,13,35,48
81.52258,32,27,2023,12,3,13,35,51
81.52258,32,25,2023,12,3,13,35,55
80.67992,32,24,2023,12,3,13,35,58
80.67992,33,22,2023,12,3,13,36,1
81.52258,33,21,2023,12,3,13,36,5
81.52258,33,20,2023,12,3,13,36,8
80.67992,33,19,2023,12,3,13,36,11
80.67992,33,18,2023,12,3,13,36,15
81.52258,33,17,2023,12,3,13,36,18
81.52258,33,17,2023,12,3,13,36,21
81.52258,33,16,2023,12,3,13,36,25
80.67992,32,16,2023,12,3,13,36,28
80.67992,32,16,2023,12,3,13,36,31
81.52258,32,15,2023,12,3,13,36,35
81.52258,32,15,2023,12,3,13,36,38
80.67992,32,15,2023,12,3,13,36,41
80.67992,32,15,2023,12,3,13,36,45
81.52258,31,15,2023,12,3,13,36,48
81.52258,31,15,2023,12,3,13,36,51
80.67992,31,15,2023,12,3,13,36,55
80.67992,31,15,2023,12,3,13,36,58
80.67992,31,15,2023,12,3,13,37,1
81.52258,30,16,2023,12,3,13,37,5
